batsman_id,runs,balls_faced,Fours,Sixes,inning,average_runs,strike_rate,average_fours,average_sixes,bat_performance_score
8392194.0,111,71,14.0,3.0,1,10.0,2.6056338028169015,10.0,7.5,10.0
8142084.0,74,58,11.0,0.0,1,6.666666666666666,2.1264367816091956,7.857142857142858,0.0,6.3159510874363125
2789646.0,283,153,32.0,12.0,5,5.099099099099099,3.0827886710239656,4.571428571428572,6.0,6.0166163547072715
4170543.0,163,110,16.0,7.0,3,4.894894894894895,2.46969696969697,3.8095238095238093,5.833333333333334,5.513559606126226
5577676.0,122,98,11.0,3.0,2,5.495495495495495,2.0748299319727894,3.928571428571429,3.75,5.494190271789951
9874052.0,42,20,4.0,3.0,1,3.7837837837837838,3.5000000000000004,2.857142857142857,7.5,5.281160142310212
251509.0,42,22,1.0,4.0,1,3.7837837837837838,3.181818181818182,0.7142857142857143,10.0,5.201841611378779
7923544.0,42,26,1.0,4.0,1,3.7837837837837838,2.6923076923076925,0.7142857142857143,10.0,5.006861276145989
4435633.0,57,53,2.0,2.0,1,5.135135135135135,1.7924528301886793,1.4285714285714286,5.0,4.976519863920959
9009083.0,247,173,32.0,6.0,5,4.45045045045045,2.3795761078998074,4.571428571428572,3.0,4.907584945234217
175405.0,55,43,8.0,0.0,1,4.954954954954955,2.1317829457364343,5.714285714285714,0.0,4.8972287277515765
5406190.0,42,29,1.0,4.0,1,3.7837837837837838,2.413793103448276,0.7142857142857143,10.0,4.895924188858367
7753710.0,76,33,4.0,5.0,2,3.423423423423423,3.8383838383838387,1.4285714285714286,6.25,4.821074603683299
392384.0,6,1,0.0,1.0,1,0.5405405405405406,10.0,0.0,2.5,4.6739446318688955
8180493.0,39,27,2.0,3.0,1,3.513513513513513,2.4074074074074074,1.4285714285714286,7.5,4.476865164102191
1956891.0,92,68,13.0,1.0,2,4.144144144144144,2.254901960784314,4.642857142857143,1.25,4.431712287912272
3685247.0,39,21,5.0,1.0,1,3.513513513513513,3.0952380952380953,3.5714285714285716,2.5,4.371490304169126
2228393.0,90,85,10.0,3.0,2,4.0540540540540535,1.7647058823529413,3.5714285714285716,3.75,4.366326265922009
2263736.0,3951,3007,351.0,111.0,90,3.9549549549549545,2.189890256069172,2.7857142857142856,3.0833333333333335,4.277060335678586
4108908.0,97,80,12.0,0.0,2,4.36936936936937,2.0208333333333335,4.285714285714286,0.0,4.274613072298908
5001198.0,80,57,6.0,4.0,2,3.603603603603603,2.3391812865497075,2.142857142857143,5.0,4.272403460415567
8096451.0,79,64,5.0,4.0,2,3.558558558558558,2.057291666666667,1.7857142857142858,5.0,4.082799677557742
3125562.0,2634,1585,253.0,137.0,77,3.081783081783082,2.769716088328076,2.3469387755102042,4.4480519480519485,4.051289129910775
2162782.0,3439,2394,325.0,144.0,92,3.3676067371719545,2.3941798941798944,2.5232919254658386,3.9130434782608696,4.043834544779725
5765934.0,830,556,68.0,41.0,23,3.2510771641206424,2.488009592326139,2.111801242236025,4.456521739130435,4.021373292389555
3730005.0,477,345,40.0,24.0,13,3.3056133056133055,2.3043478260869565,2.197802197802198,4.615384615384616,4.016933285059391
